"EXPENSE ACCOUNT","Item No.","Description","Unit of Measure","PRICELIST"
"","","ACCOUNTABLE FORMS","",""
"Accountable Forms Expenses","1","Accountable Forms #51 - Official Receipt w/ La Union & RP Seal","pad","148"
"Accountable Forms Expenses","2","Accountable Forms #52 - Certificate of Record of Transfer of Large Cattle","pad","253"
"Accountable Forms Expenses","3","Accountable Forms #53 - Certificate of Ownership of Large Cattle","pad","223"
"Accountable Forms Expenses","4","Accountable Forms #54 - Marriage License","pad","303"
"Accountable Forms Expenses","5","Accountable Forms #56 - Real Property Tax Receipt","pad","300"
"Accountable Forms Expenses","6","Accountable Forms #57 - Slaughter Permit & Fee Receipt","pad","148"
"Accountable Forms Expenses","7","Accountable Forms #58 - City/Municipal Burial Permit and Fee Receipt","pad","140"
"Accountable Forms Expenses","8","Annual Fix Tax Stickers","pc","44"
"Accountable Forms Expenses","9","Cash Tickets @ P2.00","pad","123"
"Accountable Forms Expenses","10","Cash Tickets @ P5.00","pad","144"
"Accountable Forms Expenses","11","Cash Tickets @10.00","pad","144"
"Accountable Forms Expenses","12","Community Tax Certificate, Corporation, CTC #0017","pad","113"
"Accountable Forms Expenses","13","Community Tax Certificate, Individual, CTC #0016","pad","81"
"Accountable Forms Expenses","14","Delivery Receipts","pad","124"
"Accountable Forms Expenses","15","Municipal Form No. 102 - Certificate of Live Birth","pad","336"
"Accountable Forms Expenses","16","Municipal Form No. 103 A - Certificate of Fetal Death","pad","297"
"Accountable Forms Expenses","17","Municipal Forn No. 103 - Certificate of Death","pad","336"
"Accountable Forms Expenses","18","Provincial Ordinance Violation Receipt","pad","107"
"Accountable Forms Expenses","19","Veterinary Health Certificate, 50pcs","pad","270"
"Accountable Forms Expenses","20","Veterinary Shipping Permit, 50pcs","pad","270"
"","","ADVERTISING","",""
"Advertising Expenses","21","Newspaper Advertisement, National, (1 column X 40cm)","per column x 40 cm.","15972"
"Advertising Expenses","22","Newspaper Advertisement, Local, (1 page)","page","33275"
"Advertising Expenses","23","Advertising Expenses","lot","220000"
"Advertising Expenses","24","National Newspaper (3 main publications)","copies","275000"
"Advertising Expenses","25","Publication / advertisement","lot","82500"
"Advertising Expenses","26","Publication of enacted ordinance and resolutions","lot","165000"
"Advertising Expenses","27","Radio Advertisement","lot","16500"
"Advertising Expenses","28","Radio Advertising Expense","lot","11000"
"","","BEVERAGES","",""
"Representation Expenses","29","Chocolate powdered drink, 24g","sachet","17"
"Representation Expenses","30","Coffee bean, whole, arabica, 1kg","pack","3050"
"Representation Expenses","31","Fresh milk, 1000ml","pack","122"
"Representation Expenses","32","Juice, 250ml","tetra pack","26"
"Representation Expenses","33","Juice, 330ml","btl","33"
"Representation Expenses","34","Softdrinks, 190ml","btl","13"
"Representation Expenses","35","Water, bottled, 350ml (40 bottles per case)","case","330"
"Representation Expenses","36","Water, bottled, 500ml","btl","18"
"","","CARPENTRY TOOLS AND EQUIPMENT","",""
"Other Supplies and Materials Expenses","37","Angle grinder, portable","unit","4906"
"Other Supplies and Materials Expenses","38","Combination wrench (10, 12, 14, 17, 19, 22, 24)","set","600"
"Other Supplies and Materials Expenses","39","Drill, Impact Drill (13Mm) with 22 pcs.","unit","4830"
"Other Supplies and Materials Expenses","40","Plier with side cutter","pc","599"
"Other Supplies and Materials Expenses","41","Screw driver (Phillips and Flat head interchangeable)","set","320"
"Other Supplies and Materials Expenses","42","Socket Wrench 8mm-24mm w/ handle","pc","3800"
"","","CARPENTRY SUPPLIES","",""
"Other Supplies and Materials Expenses","43","Adhesive, silicon, clear, 300ml","tube","329"
"Other Supplies and Materials Expenses","44","Brush, baby roller with tray, 4""","set","146"
"Other Supplies and Materials Expenses","45","Brush paint, 1""","pc","45"
"Other Supplies and Materials Expenses","46","Brush paint, 2""","pc","97"
"Other Supplies and Materials Expenses","47","Brush paint, 3""","pc","125"
"Other Supplies and Materials Expenses","48","Circular saw blade for wood, 8""","pc","987"
"Other Supplies and Materials Expenses","49","Circular saw blade w/ diamond 20cm Ø","pc","866"
"Other Supplies and Materials Expenses","50","Door knob","set","515"
"Other Supplies and Materials Expenses","51","Drill bit hi-speed, for concrete, 1/2""","pc","482"
"Other Supplies and Materials Expenses","52","Drill bit hi-speed, for concrete, 1/4""","pc","194"
"Other Supplies and Materials Expenses","53","Drill bit hi-speed, for concrete, 1/8""","pc","157"
"Other Supplies and Materials Expenses","54","Drill bit hi-speed, for concrete, 3/16""","pc","207"
"Other Supplies and Materials Expenses","55","Drill bit hi-speed, for concrete, 5/16""","pc","359"
"Other Supplies and Materials Expenses","56","Drill bit hi-speed, for metal, 1/16""","pc","49"
"Other Supplies and Materials Expenses","57","Drill bit hi-speed, for metal, 1/4""","pc","158"
"Other Supplies and Materials Expenses","58","Drill bit hi-speed, for metal, 1/8""","pc","83"
"Other Supplies and Materials Expenses","59","Drill bit hi-speed, for metal, 3/16""","pc","121"
"Other Supplies and Materials Expenses","60","Drill bit hi-speed, for metal, 5/16""","pc","226"
"Other Supplies and Materials Expenses","61","Ecowood Framing, 2""x3""x12'","pc","620"
"Other Supplies and Materials Expenses","62","GI tie wire, #16","kilo","186"
"Other Supplies and Materials Expenses","63","Grinding disc, 4""","pc","51"
"Other Supplies and Materials Expenses","64","Gypsum screw, 1""","pc","7"
"Other Supplies and Materials Expenses","65","Hacksaw blade","pc","98"
"Other Supplies and Materials Expenses","66","Hammer","pc","258"
"Other Supplies and Materials Expenses","67","Latex, flat (White), 1 gal","can","695"
"Other Supplies and Materials Expenses","68","Latex, gloss (White), 1 gal","can","931"
"Other Supplies and Materials Expenses","69","Latex, semi-gloss (White), 1 gal","can","1086"
"Other Supplies and Materials Expenses","70","Lock, drawer","pc","503"
"Other Supplies and Materials Expenses","71","Lumber, 2""x2""x10'","pc","463"
"Other Supplies and Materials Expenses","72","Nail, Common wire, assorted size","kl","119"
"Other Supplies and Materials Expenses","73","Nail, finishing, 1 1/2""","kl","84"
"Other Supplies and Materials Expenses","74","Nail, finishing, 1""","kl","123"
"Other Supplies and Materials Expenses","75","Nail, finishing, 2""","kl","168"
"Other Supplies and Materials Expenses","76","Nail, finishing, 3""","kl","121"
"Other Supplies and Materials Expenses","77","Paint, lacquer, white, 1gal","can","1438"
"Other Supplies and Materials Expenses","78","Paint, latex, blue, 1gal","can","1024"
"Other Supplies and Materials Expenses","79","Paint, latex, blue, 1L","can","221"
"Other Supplies and Materials Expenses","80","Paint, latex, red, 1gal","can","1051"
"Other Supplies and Materials Expenses","81","Paint, latex, red, 1L","can","221"
"Other Supplies and Materials Expenses","82","Paint, latex, yellow, 1L","can","221"
"Other Supplies and Materials Expenses","83","Plywood, 3/4""x4'x8' Marine","pc","2426"
"Other Supplies and Materials Expenses","84","Plywood, marine, 1/4""","pc","588"
"Other Supplies and Materials Expenses","85","Plywood, ordinary, 1/2""x4'x 8''","pc","895"
"Other Supplies and Materials Expenses","86","Putty, Lacquer, white, 1gal","gal","1428"
"Other Supplies and Materials Expenses","87","Putty, masonry, 1gal","can","456"
"Other Supplies and Materials Expenses","88","Sand paper, # 220","pc","25"
"Other Supplies and Materials Expenses","89","Sealant, elastomeric, Any Color, 250ml","can","329"
"Other Supplies and Materials Expenses","90","Stopa Cloth","kg","139"
"Other Supplies and Materials Expenses","91","Super White, Paint","gal","2130"
"Other Supplies and Materials Expenses","92","Thinner, lacquer, 1 gal","gal","834"
"Other Supplies and Materials Expenses","93","Thinner, paint, 1 gal","gal","504"
"Other Supplies and Materials Expenses","94","Tinting oil,  1/4 ltr. Raw Sienna","can","133"
"Other Supplies and Materials Expenses","95","Tinting oil, 1/4 ltr. Burnt Sienna","can","133"
"Other Supplies and Materials Expenses","96","Wood varnish, clear","gal","1122"
"Other Supplies and Materials Expenses","97","Claw hammer- size: 20 OZ","pc","485"
"Other Supplies and Materials Expenses","98","Hacksaw with frame 12""","pc","285"
"Other Supplies and Materials Expenses","99","Hacksaw blade 12""","pc","218"
"Other Supplies and Materials Expenses","100","Anti-Static steel brush for cleaning tools","pc","110"
"Other Supplies and Materials Expenses","101","Caution Tape, 300m","roll","575"
"Other Supplies and Materials Expenses","102","Grinder Cutter 100x60x16 heavy duty (disk only)","pc","255"
"","","COMPUTER SUPPLIES","",""
"Office Supplies Expenses","103","122-in-1 Precision Screw Driver Set Magnetic (Precision Tool)","unit","897"
"Office Supplies Expenses","104","13-in-1 Type-C Laptop & Macbook Docking Station","unit","3435"
"Office Supplies Expenses","105","1TB SSD","unit","11935"
"Office Supplies Expenses","106","2 Type C Hub Converter 6 in 1 Adopter","pc","638"
"Office Supplies Expenses","107","2-in-1 Cable Crimper Plier for RJ11, 12, 45 with LAN Tester Built-In","pc","2909"
"Office Supplies Expenses","108","2.5"" SSD 2TB - mlc chip","pc","13750"
"Office Supplies Expenses","109","250GB SSD Sata","pc","2624"
"Office Supplies Expenses","110","25W Travel Adapter USB Type-C Interface","pc","1224"
"Office Supplies Expenses","111","3 Socket Plug Adapter","pc","89"
"Office Supplies Expenses","112","4-Port HDMI Amplifier Splitter (1-in 4-Out)","unit","2654"
"Office Supplies Expenses","113","480 GB M.2 NVME","unit","7992"
"Office Supplies Expenses","114","64 GB UHS-II / V60 / U3 / Class 10","unit","2324"
"Office Supplies Expenses","115","659466 YMCKO 5 Panel Colored Ribbon 250 images","roll","8140"
"Office Supplies Expenses","116","80mm PC fan","pc","693"
"Office Supplies Expenses","117","8TB NAS HDD","pc","10989"
"Office Supplies Expenses","118","AC AP Outdoor (Unifi)","unit","10754"
"Office Supplies Expenses","119","All-in-one Multi-card Reader","pc","264"
"Office Supplies Expenses","120","Analog Multitester","unit","1430"
"Office Supplies Expenses","121","Anti-static mat / grounding mat for pc repair/ 700mm × 500mm × 2mm Anti-Static Mat Ground Wire for Mobile Computer Repair Antistatic Blanket","pc","1320"
"Office Supplies Expenses","122","Automatic Voltage Regulator, 500 W, St 500VA (Avr Power Supply for Appliances 220V: Ac / dc 110v, and ac 110v / 120v.)","unit","3570"
"Office Supplies Expenses","123","Cable Tie, 4""/100s","pack","239"
"Office Supplies Expenses","124","Cable Tie, 6""/100s","pack","239"
"Office Supplies Expenses","125","Cable Tie, 8""/100s","pack","223"
"Office Supplies Expenses","126","Cable/Wire Ramp, 3ft","pc","4268"
"Office Supplies Expenses","127","Canon GL-790, Black Ink","bot","516"
"Office Supplies Expenses","128","Canon GL-790, Cyan Ink","bot","516"
"Office Supplies Expenses","129","Canon GL-790, Magenta Ink","bot","516"
"Office Supplies Expenses","130","Canon GL-790, Yellow Ink","bot","516"
"Office Supplies Expenses","131","Canon Image Runner 2006N-Drum and Blade","set","8140"
"Office Supplies Expenses","132","Canon Image Runner 2006N-Gear","pair","1881"
"Office Supplies Expenses","133","Canon Image Runner 2006N-Toner Cartridge NPG-59","pc","4043"
"Office Supplies Expenses","134","Cat6 Passthrough RJ45 1 box (100pcs)","box","21"
"Office Supplies Expenses","135","CAT6 UTP CABLE (100m)","roll","2709"
"Office Supplies Expenses","136","CD Rewritable (CD-RW) w/ case","pc","112"
"Office Supplies Expenses","137","CD Rewritable (CD-RW) without case","pc","63"
"Office Supplies Expenses","138","Cleaning Kit","pc","2393"
"Office Supplies Expenses","139","Clicker, presenter with bluetooth","pc","2090"
"Office Supplies Expenses","140","Computer Cleaner Paste, 250gm","pc","132"
"Office Supplies Expenses","141","Contact Cleaner (WD-40)","pc","352"
"Office Supplies Expenses","142","Cover for Samsung Tab A9 Plus Cover Case 11 inch, Flip Cover Case for Samsung Galaxy Tab A9 Plus Cover/Tab A9+ Tablet Cover with Translucent Back [Auto Sleep Wake Support] - Black","pc","426"
"Office Supplies Expenses","143","CPU Case, Type: Micro ATX / Mini-ITX, Black","pc","3094"
"Office Supplies Expenses","144","CPU Power Cord, 3ft","pc","274"
"Office Supplies Expenses","145","DDR4, 8GB","pc","1980"
"Office Supplies Expenses","146","Developer Toner TN118 / TN116","pc","4521"
"Office Supplies Expenses","147","Digital Audio Voice Recorder with 32GB TF card, Rechargeable","unit","4455"
"Office Supplies Expenses","148","Digital Multitester, Heavy Duty","pc","4378"
"Office Supplies Expenses","149","DisplayPort to HDMI 4K Active Adapter (M/F)","pc","2324"
"Office Supplies Expenses","150","DVD Rewritable with case","pc","88"
"Office Supplies Expenses","151","Epson Durabrite Pro T05C1, Black, high yield","cart","28870"
"Office Supplies Expenses","152","Epson Durabrite Pro T05C2, Cyan, high yield","cart","22083"
"Office Supplies Expenses","153","Epson Durabrite Pro T05C3, Magenta, high yield","cart","22083"
"Office Supplies Expenses","154","Epson Durabrite Pro T05C4, Yellow, high yield","cart","22083"
"Office Supplies Expenses","155","Epson EcoTank L6460 A4 Ink Tank Printer Ink Epson EcoTank L6460 A4 Ink Tank Printer Ink - Pigment Cyan Ink Bottle-008","btl","1031"
"Office Supplies Expenses","156","Epson EcoTank L6460 A4 Ink Tank Printer Ink Epson EcoTank L6460 A4 Ink Tank Printer Ink-Pigment Black Ink Bottle-008","btl","1031"
"Office Supplies Expenses","157","Epson EcoTank L6460 A4 Ink Tank Printer Ink Epson EcoTank L6460 A4 Ink Tank Printer Ink-Pigment Magenta Ink Bottle-008","btl","1031"
"Office Supplies Expenses","158","Epson EcoTank L6460 A4 Ink Tank Printer Ink Epson EcoTank L6460 A4 Ink Tank Printer Ink-Pigment Yellow Ink Bottle-008","btl","1031"
"Office Supplies Expenses","159","Epson L6290 Maintenance Box (T04D1/E-04D1)","pc","1447"
"Office Supplies Expenses","160","Epson T6716 for WF-C5790 Maintainance Box","pc","2434"
"Office Supplies Expenses","161","Epson TM-C3510 blank Synthetic label sticker (10cm x 40m)","roll","5803"
"Office Supplies Expenses","162","Epson TM-C3510 Maintenance box","pc","2874"
"Office Supplies Expenses","163","EPSON Workforce Maintenance Box for C5790, C5290/T6716 PXMB 8","box","2665"
"Office Supplies Expenses","164","External Hard Drive 1TB USB 3.0 Back UP Plus, Slim, Portable HDD","pcs","4202"
"Office Supplies Expenses","165","External Hard Drive Shockproof bag case for 1TB slim size","pcs","577"
"Office Supplies Expenses","166","External Hard Drive, 1TB","pc","3569"
"Office Supplies Expenses","167","External Hard Drive, 1TB SSD","pc","7700"
"Office Supplies Expenses","168","External Hard Drive, 250GB SSD","pc","4367"
"Office Supplies Expenses","169","External Hard Drive, 2TB","pc","8701"
"Office Supplies Expenses","170","External Numeric Keypad (Laptop)","pc","817"
"Office Supplies Expenses","171","Flash Drive, 16GB","pc","378"
"Office Supplies Expenses","172","Flash Drive, 16GB 3.0 OTG","pc","818"
"Office Supplies Expenses","173","Flash Drive, 32GB","pc","1029"
"Office Supplies Expenses","174","Flash Drive, 8GB","pc","386"
"Office Supplies Expenses","175","Hard Disk (desktop), 1TB","pc","5115"
"Office Supplies Expenses","176","Hard Drive 4TB NAS SATA","unit","7367"
"Office Supplies Expenses","177","HDMI Cable, 10m","pc","715"
"Office Supplies Expenses","178","HDMI Cable, 20m","pc","1903"
"Office Supplies Expenses","179","HDMI Video Splitter","pc","2750"
"Office Supplies Expenses","180","Headset A4 Tech HS-50 (6.5meters cable, 97 dB's)","pc","1782"
"Office Supplies Expenses","181","Headset with Noise Cancellation (Usb H390)","unit","2943"
"Office Supplies Expenses","182","IC Recorder - PX-333, Rechargeable","unit","4565"
"Office Supplies Expenses","183","Impact tool","pc","2860"
"Office Supplies Expenses","184","Keyboard wireless with mouse","set","2503"
"Office Supplies Expenses","185","Keyboard, (USB-type connection)","pc","880"
"Office Supplies Expenses","186","LAN Tester","pc","1122"
"Office Supplies Expenses","187","Logitech C270 HD 720P Webcam Plug and Play Video Calling","unit","5572"
"Office Supplies Expenses","188","Male Plug Adapter (round to flat)","pc","55"
"Office Supplies Expenses","189","Memory Card, SD Card 16GB","pc","765"
"Office Supplies Expenses","190","Memory Card, SD Card 32GB","pc","1210"
"Office Supplies Expenses","191","Mouse Pad","pc","50"
"Office Supplies Expenses","192","Mouse, Optical (USB-type connection)","pc","328"
"Office Supplies Expenses","193","Mouse, Optical Wireless (M186 Logitech)","pc","1155"
"Office Supplies Expenses","194","Multiport HDMI/USB adapter/hub
9-in-1 HDMI + RJ45 + SD + TF + 2*USB3.0 + PD + 2 USB C","unit","3561"
"Office Supplies Expenses","195","Network Switch , 24 Ports","pc","6733"
"Office Supplies Expenses","196","NVME M.2 Enclosure, USB3.1 Type-C Interface","unit","2470"
"Office Supplies Expenses","197","Outdoor Cat6 Cable","box","7068"
"Office Supplies Expenses","198","Outdoor Cat6 Cable","box","4755"
"Office Supplies Expenses","199","Outdoor Switch (Ubiquiti Unifi Flex 5-Port POE)","unit","8465"
"Office Supplies Expenses","200","POE 24V Passive 1AMP","pc","2448"
"Office Supplies Expenses","201","Portable CD ROM","units","2139"
"Office Supplies Expenses","202","Portable Two Way Radio Walkie Talkie (Set of 4) 16-channels, Freq. Range 400-520MHz","set","5720"
"Office Supplies Expenses","203","Power Extension Reel (25m)","pc","2640"
"Office Supplies Expenses","204","Power Supply 600V","pc","3218"
"Office Supplies Expenses","205","Power Supply Unit, 550w, 80+ Bronze Certified, Fixed Cable","unit","3432"
"Office Supplies Expenses","206","Power Surge (UPS AVR) 800VA-400W","pc","4213"
"Office Supplies Expenses","207","RAM, 16GB 2x8 Memory 3200mhz DDR4","pc","6006"
"Office Supplies Expenses","208","RAM, 8GB, 2133-2666Mhz DDR4 (5)","pc","2420"
"Office Supplies Expenses","209","RJ45 Connector Cat6 (100 pcs)","pack","626"
"Office Supplies Expenses","210","RJ45 Crimper Passthru","pack","831"
"Office Supplies Expenses","211","RJ45 Keystone","pack","79"
"Office Supplies Expenses","212","Router, Wireless","unit","2929"
"Office Supplies Expenses","213","Signature Pad","unit","2475"
"Office Supplies Expenses","214","Silicon Grease (Spray) 500cc","pc","633"
"Office Supplies Expenses","215","Soldering Gun (Heavy duty)","unit","886"
"Office Supplies Expenses","216","Soldering Lead, 0.6mm","pc","561"
"Office Supplies Expenses","217","Solid State Drive (SSD Harddisk) 240GB","pc","4675"
"Office Supplies Expenses","218","Speaker PC, multi media for desktop/laptop, Compact Multimedia 2.1 Speaker System","unit","2285"
"Office Supplies Expenses","219","Thermal Paste","tube","162"
"Office Supplies Expenses","220","Thermal Tape (5MM)","roll","228"
"Office Supplies Expenses","221","Ubiquiti Edgepoint R6","pc","9900"
"Office Supplies Expenses","222","Universal Laptop Charger (60w)","pc","1564"
"Office Supplies Expenses","223","Universal Laptop Charger (90w)","pc","1930"
"Office Supplies Expenses","224","UPS Battery , 12V Battery 12AH/20AH Rechargeable Sealed Lead Acid Battery Deep Cycle UPS","pc","1265"
"Office Supplies Expenses","225","UPS Battery12v9ah","unit","1485"
"Office Supplies Expenses","226","USB dual band wifi dongle","pc","1034"
"Office Supplies Expenses","227","USB Headset with noise-cancelling microphone","pcs","2133"
"Office Supplies Expenses","228","USB Hub-4ports","pc","704"
"Office Supplies Expenses","229","USB Multi Port Hub","pc","220"
"Office Supplies Expenses","230","USB Splitter 4 ports","pc","770"
"Office Supplies Expenses","231","USB Web Camera 1080P 30fps FHD 2 Megapixels 90° Wide Angle With Microphone","pcs","2145"
"Office Supplies Expenses","232","UTP Cable -CAT6 Indoor 300m","roll","4483"
"Office Supplies Expenses","233","VGA Cable (1.5m)","pc","561"
"Office Supplies Expenses","234","WD-40 Specialist Silicone, 360ml","tin","608"
"Office Supplies Expenses","235","Wifi Receiver","unit","1012"
"Office Supplies Expenses","236","Wireless receiver/presenter Pointer pen, red laser with USB & remote","pc","605"
"Office Supplies Expenses","237","Wireless Router/Access Point/Range Extender","unit","3739"
"","","COMPUTER INK AND TONER","",""
"Office Supplies Expenses","238","Bottomless Ink Refill, Cyan 100ml","btl","199"
"Office Supplies Expenses","239","Bottomless Ink Refill, Magenta, 100ml","btl","175"
"Office Supplies Expenses","240","Bottomless Ink Refill, Yellow, 100ml","btl","175"
"Office Supplies Expenses","241","Brother BT5000 Ink (C)","pcs","382"
"Office Supplies Expenses","242","Brother BT5000 Ink (M)","pcs","382"
"Office Supplies Expenses","243","Brother BT5000 Ink (Y)","pcs","382"
"Office Supplies Expenses","244","Brother BTD60 (BK)","pcs","382"
"Office Supplies Expenses","245","Brother Drum DR-2355 (for Brother DCP-L2540DW Printer)","pc","6751"
"Office Supplies Expenses","246","Brother TN-2360 toner cartridge (for Brother DCP-L2540DW Printer)","pc","2596"
"Office Supplies Expenses","247","EPSON TM-C3510 Ink SJIC23F (Black)","unit","8158"
"Office Supplies Expenses","248","EPSON TM-C3510 Ink SJIC23F (Cyan)","unit","4895"
"Office Supplies Expenses","249","EPSON TM-C3510 Ink SJIC23F (Magenta)","unit","4895"
"Office Supplies Expenses","250","EPSON TM-C3510 Ink SJIC23F (Yellow)","unit","4895"
"Office Supplies Expenses","251","Epson Ink 001 (L4150, L4160, L6160, L6170,
L6190)Magenta 70ml/btl","btl","642"
"Office Supplies Expenses","252","Epson Ink 001 (L4150, L4160, L6160, L6170, L6190)
Black 70ml/btl","btl","607"
"Office Supplies Expenses","253","Epson Ink 001 (L4150, L4160, L6160, L6170, L6190)
Cyan 70ml/btl","btl","607"
"Office Supplies Expenses","254","Epson Ink 001 (L4150, L4160, L6160, L6170, L6190)
Yellow 70ml/btl","btl","642"
"Office Supplies Expenses","255","Epson Ink 003 (L3100, L3101, L3150) Black 70ml/btl","btl","631"
"Office Supplies Expenses","256","Epson Ink 003 (L3100, L3101, L3150) Cyan 70ml/btl","btl","631"
"Office Supplies Expenses","257","Epson Ink 003 (L3100, L3101, L3150) Magenta 70ml/btl","btl","631"
"Office Supplies Expenses","258","Epson Ink 003 (L3100, L3101, L3150) Yellow 70ml/btl","btl","631"
"Office Supplies Expenses","259","Epson Ink T6641, Black (For L120, L110, L210, L220,
L300, L360,L380)","btl","557"
"Office Supplies Expenses","260","Epson Ink T6642, Cyan (For L120, L110, L210, L220,
L300, L360,L380)","btl","557"
"Office Supplies Expenses","261","Epson Ink T6643, Magenta (For L120, L110, L210, L220,
L300, L360,L380)","btl","557"
"Office Supplies Expenses","262","Epson Ink T6644, Yellow (For L120, L110, L210, L220,
L300, L360,L380)","btl","557"
"Office Supplies Expenses","263","Epson ink T6731 Black, 70ml/btl (L800, L801, L805,
L810, L850, L1800)","btl","669"
"Office Supplies Expenses","264","Epson ink T6732 Cyan, 70ml/btl (L800, L801, L805,
L810, L850, L1800)","btl","669"
"Office Supplies Expenses","265","Epson ink T6733 Magenta, 70ml/btl (L800, L801, L805,
L810, L850, L1800)","btl","669"
"Office Supplies Expenses","266","Epson ink T6734 Yellow, 70ml/btl (L800, L801, L805,
L810, L850, L1800)","btl","669"
"Office Supplies Expenses","267","Epson ink T6735 Light Cyan, 70ml/btl (L800, L801, L805,
L810, L850, L1800)","btl","669"
"Office Supplies Expenses","268","Epson ink T6736 Light Magenta, 70ml/btl (L800, L801,
L805, L810, L850, L1800)","btl","669"
"Office Supplies Expenses","269","Epson L15150 Ink 008, Black","pc","1326"
"Office Supplies Expenses","270","Epson L15150 Ink 008, Cyan","pc","1024"
"Office Supplies Expenses","271","Epson L15150 Ink 008, Magenta","pc","1024"
"Office Supplies Expenses","272","Epson L15150 Ink 008, Yellow","pc","1024"
"Office Supplies Expenses","273","Epson L15150 Maintenance Box (C9345 / PXMB9)","pc","1669"
"Office Supplies Expenses","274","Epson Workforce Pro, WF-C869R Copier Toner/Ink
T9741-Black","btl","10918"
"Office Supplies Expenses","275","Epson Workforce Pro, WF-C5790 Copier Toner/Ink T948 Standard Black","btl","8492"
"Office Supplies Expenses","276","Epson Workforce Pro, WF-C5790 Copier Toner/Ink T948 Standard Cyan","btl","13338"
"Office Supplies Expenses","277","Epson Workforce Pro, WF-C5790 Copier Toner/Ink T948 Standard Magenta","btl","13338"
"Office Supplies Expenses","278","Epson Workforce Pro, WF-C5790 Copier Toner/Ink T948 Standard Yellow","btl","12711"
"Office Supplies Expenses","279","Epson Workforce Pro, WF-C869R Copier Maintenance
Box","btl","8740"
"Office Supplies Expenses","280","Epson Workforce Pro, WF-C869R Copier Tone/Ink T9743
Magenta","btl","13915"
